fid,STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CSAFP,CBSAFP,METDIVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,census_med_income,census_pov_stat_pop,census_below_pov_line_prev_yr,census_state,census_county,census_pov_rate,pop_dense,field_1,lat,long,tot_num_serv_connects_sdwis,tot_num_serv_connects,tot_num_sl_w_lead,no_lead_serv_connects,unk_mat_serv_connects,pct_lsl_calc
"114","18","089","00450495","18089",Lake,Lake County,"06",H1,G4020,"176","16980","23844",A,"1292050352","330971523","+41.4722470","-087.3743368","27291","482411","80849","18","89",16.76,"0","92",41.374541,-87.444469,"35",,,,,
"115","18","089","00450495","18089",Lake,Lake County,"06",H1,G4020,"176","16980","23844",A,"1292050352","330971523","+41.4722470","-087.3743368","27291","482411","80849","18","89",16.76,"0","93",41.383493,-87.439459,"1211",1255,,1255,,
"116","18","089","00450495","18089",Lake,Lake County,"06",H1,G4020,"176","16980","23844",A,"1292050352","330971523","+41.4722470","-087.3743368","27291","482411","80849","18","89",16.76,"0","102",41.404195,-87.254875,"45",,,,,
"117","18","089","00450495","18089",Lake,Lake County,"06",H1,G4020,"176","16980","23844",A,"1292050352","330971523","+41.4722470","-087.3743368","27291","482411","80849","18","89",16.76,"0","152",41.521659,-87.378177,"42",45,0,45,0,0
"118","18","089","00450495","18089",Lake,Lake County,"06",H1,G4020,"176","16980","23844",A,"1292050352","330971523","+41.4722470","-087.3743368","27291","482411","80849","18","89",16.76,"0","154",41.424426,-87.345938,"13048",,,,,
"119","18","089","00450495","18089",Lake,Lake County,"06",H1,G4020,"176","16980","23844",A,"1292050352","330971523","+41.4722470","-087.3743368","27291","482411","80849","18","89",16.76,"0","182",41.493349,-87.520381,"7180",,,,,
"120","18","089","00450495","18089",Lake,Lake County,"06",H1,G4020,"176","16980","23844",A,"1292050352","330971523","+41.4722470","-087.3743368","27291","482411","80849","18","89",16.76,"0","186",41.651043,-87.445302,"7200",11000,9000,,2000,81.82
"121","18","089","00450495","18089",Lake,Lake County,"06",H1,G4020,"176","16980","23844",A,"1292050352","330971523","+41.4722470","-087.3743368","27291","482411","80849","18","89",16.76,"0","211",41.411996,-87.328225,"84",,,,,
"122","18","089","00450495","18089",Lake,Lake County,"06",H1,G4020,"176","16980","23844",A,"1292050352","330971523","+41.4722470","-087.3743368","27291","482411","80849","18","89",16.76,"0","263",41.523314,-87.42724,"5796",5596,0,5596,,0
"123","18","089","00450495","18089",Lake,Lake County,"06",H1,G4020,"176","16980","23844",A,"1292050352","330971523","+41.4722470","-087.3743368","27291","482411","80849","18","89",16.76,"0","270",41.59541,-87.499737,"24115",24148,,,24148,
"124","18","089","00450495","18089",Lake,Lake County,"06",H1,G4020,"176","16980","23844",A,"1292050352","330971523","+41.4722470","-087.3743368","27291","482411","80849","18","89",16.76,"0","283",41.553655,-87.447973,"9093",9196,461,7356,1103,5.01
"125","18","089","00450495","18089",Lake,Lake County,"06",H1,G4020,"176","16980","23844",A,"1292050352","330971523","+41.4722470","-087.3743368","27291","482411","80849","18","89",16.76,"0","304",41.418631,-87.236494,"1659",1661,0,1661,0,0
"126","18","089","00450495","18089",Lake,Lake County,"06",H1,G4020,"176","16980","23844",A,"1292050352","330971523","+41.4722470","-087.3743368","27291","482411","80849","18","89",16.76,"0","305",41.366807,-87.378197,"32",,,,,
"127","18","089","00450495","18089",Lake,Lake County,"06",H1,G4020,"176","16980","23844",A,"1292050352","330971523","+41.4722470","-087.3743368","27291","482411","80849","18","89",16.76,"0","317",41.599334,-87.342584,"66713",80026,35632,44108,286,44.53
"128","18","089","00450495","18089",Lake,Lake County,"06",H1,G4020,"176","16980","23844",A,"1292050352","330971523","+41.4722470","-087.3743368","27291","482411","80849","18","89",16.76,"0","375",41.565753,-87.232014,"3267",3267,18,0,0,0.55
"129","18","089","00450495","18089",Lake,Lake County,"06",H1,G4020,"176","16980","23844",A,"1292050352","330971523","+41.4722470","-087.3743368","27291","482411","80849","18","89",16.76,"0","379",41.376859,-87.453156,"98",,,,,
"130","18","089","00450495","18089",Lake,Lake County,"06",H1,G4020,"176","16980","23844",A,"1292050352","330971523","+41.4722470","-087.3743368","27291","482411","80849","18","89",16.76,"0","390",41.450276,-87.426135,"21",,,,,
"131","18","089","00450495","18089",Lake,Lake County,"06",H1,G4020,"176","16980","23844",A,"1292050352","330971523","+41.4722470","-087.3743368","27291","482411","80849","18","89",16.76,"0","411",41.291424,-87.42059,"3560",3608,146,3462,,4.05
"132","18","089","00450495","18089",Lake,Lake County,"06",H1,G4020,"176","16980","23844",A,"1292050352","330971523","+41.4722470","-087.3743368","27291","482411","80849","18","89",16.76,"0","467",41.561814,-87.503899,"8380",8380,,,8380,
"133","18","089","00450495","18089",Lake,Lake County,"06",H1,G4020,"176","16980","23844",A,"1292050352","330971523","+41.4722470","-087.3743368","27291","482411","80849","18","89",16.76,"0","477",41.55854,-87.275935,"2236",,,2322,,
"134","18","089","00450495","18089",Lake,Lake County,"06",H1,G4020,"176","16980","23844",A,"1292050352","330971523","+41.4722470","-087.3743368","27291","482411","80849","18","89",16.76,"0","489",41.361273,-87.441052,"28",,,,,
"135","18","089","00450495","18089",Lake,Lake County,"06",H1,G4020,"176","16980","23844",A,"1292050352","330971523","+41.4722470","-087.3743368","27291","482411","80849","18","89",16.76,"0","506",41.249032,-87.467255,"17",,,,,
"136","18","089","00450495","18089",Lake,Lake County,"06",H1,G4020,"176","16980","23844",A,"1292050352","330971523","+41.4722470","-087.3743368","27291","482411","80849","18","89",16.76,"0","582",41.291737,-87.426352,"19",,,,,
"137","18","089","00450495","18089",Lake,Lake County,"06",H1,G4020,"176","16980","23844",A,"1292050352","330971523","+41.4722470","-087.3743368","27291","482411","80849","18","89",16.76,"0","592",41.358168,-87.439241,"17",17,0,17,,0
"138","18","089","00450495","18089",Lake,Lake County,"06",H1,G4020,"176","16980","23844",A,"1292050352","330971523","+41.4722470","-087.3743368","27291","482411","80849","18","89",16.76,"0","613",41.492423,-87.451031,"13187",12011,,12011,,
"139","18","089","00450495","18089",Lake,Lake County,"06",H1,G4020,"176","16980","23844",A,"1292050352","330971523","+41.4722470","-087.3743368","27291","482411","80849","18","89",16.76,"0","614",41.183391,-87.448512,"123",,,,,
"140","18","089","00450495","18089",Lake,Lake County,"06",H1,G4020,"176","16980","23844",A,"1292050352","330971523","+41.4722470","-087.3743368","27291","482411","80849","18","89",16.76,"0","655",41.448648,-87.46489,"6290",,,,,
"141","18","089","00450495","18089",Lake,Lake County,"06",H1,G4020,"176","16980","23844",A,"1292050352","330971523","+41.4722470","-087.3743368","27291","482411","80849","18","89",16.76,"0","677",41.358133,-87.423338,"40",,,,,
"142","18","089","00450495","18089",Lake,Lake County,"06",H1,G4020,"176","16980","23844",A,"1292050352","330971523","+41.4722470","-087.3743368","27291","482411","80849","18","89",16.76,"0","705",41.418804,-87.236331,"3124",3114,0,3114,0,0
"143","18","089","00450495","18089",Lake,Lake County,"06",H1,G4020,"176","16980","23844",A,"1292050352","330971523","+41.4722470","-087.3743368","27291","482411","80849","18","89",16.76,"0","738",41.418628,-87.23655,"190",204,0,204,0,0
"144","18","089","00450495","18089",Lake,Lake County,"06",H1,G4020,"176","16980","23844",A,"1292050352","330971523","+41.4722470","-087.3743368","27291","482411","80849","18","89",16.76,"0","759",41.679696,-87.49355,"1517",1517,1158,159,200,76.33
"145","18","157","00450393","18157",Tippecanoe,Tippecanoe County,"06",H1,G4020,"320","29200",,A,"1292138000","11256312","+40.3891334","-086.8935538","22813","169937","35575","18","157",20.93,"0","34",40.508369,-86.841676,"850",,,,,
"146","18","157","00450393","18157",Tippecanoe,Tippecanoe County,"06",H1,G4020,"320","29200",,A,"1292138000","11256312","+40.3891334","-086.8935538","22813","169937","35575","18","157",20.93,"0","77",40.452921,-86.968955,"86",,,,,
"147","18","157","00450393","18157",Tippecanoe,Tippecanoe County,"06",H1,G4020,"320","29200",,A,"1292138000","11256312","+40.3891334","-086.8935538","22813","169937","35575","18","157",20.93,"0","113",40.246981,-86.725006,"280",260,0,260,0,0
"148","18","157","00450393","18157",Tippecanoe,Tippecanoe County,"06",H1,G4020,"320","29200",,A,"1292138000","11256312","+40.3891334","-086.8935538","22813","169937","35575","18","157",20.93,"0","165",40.377537,-86.775571,"535",536,0,536,0,0
"149","18","157","00450393","18157",Tippecanoe,Tippecanoe County,"06",H1,G4020,"320","29200",,A,"1292138000","11256312","+40.3891334","-086.8935538","22813","169937","35575","18","157",20.93,"0","280",40.419825,-86.8891,"24",,,,,
"150","18","157","00450393","18157",Tippecanoe,Tippecanoe County,"06",H1,G4020,"320","29200",,A,"1292138000","11256312","+40.3891334","-086.8935538","22813","169937","35575","18","157",20.93,"0","330",40.434741,-86.898871,"12176",12013,0,12013,0,0
"151","18","157","00450393","18157",Tippecanoe,Tippecanoe County,"06",H1,G4020,"320","29200",,A,"1292138000","11256312","+40.3891334","-086.8935538","22813","169937","35575","18","157",20.93,"0","353",40.473632,-86.899842,"34",,,,,
"152","18","157","00450393","18157",Tippecanoe,Tippecanoe County,"06",H1,G4020,"320","29200",,A,"1292138000","11256312","+40.3891334","-086.8935538","22813","169937","35575","18","157",20.93,"0","368",40.426951,-86.892773,"27667",29000,2900,26100,0,10
"153","18","157","00450393","18157",Tippecanoe,Tippecanoe County,"06",H1,G4020,"320","29200",,A,"1292138000","11256312","+40.3891334","-086.8935538","22813","169937","35575","18","157",20.93,"0","450",40.447112,-86.882812,"15",,,15,,
"154","18","157","00450393","18157",Tippecanoe,Tippecanoe County,"06",H1,G4020,"320","29200",,A,"1292138000","11256312","+40.3891334","-086.8935538","22813","169937","35575","18","157",20.93,"0","563",40.417847,-86.912412,"260",,,,,
"155","18","157","00450393","18157",Tippecanoe,Tippecanoe County,"06",H1,G4020,"320","29200",,A,"1292138000","11256312","+40.3891334","-086.8935538","22813","169937","35575","18","157",20.93,"0","600",40.37742,-86.922166,"47",47,,47,,
"156","18","157","00450393","18157",Tippecanoe,Tippecanoe County,"06",H1,G4020,"320","29200",,A,"1292138000","11256312","+40.3891334","-086.8935538","22813","169937","35575","18","157",20.93,"0","618",40.371777,-86.949212,"76",76,0,76,,0
"157","18","157","00450393","18157",Tippecanoe,Tippecanoe County,"06",H1,G4020,"320","29200",,A,"1292138000","11256312","+40.3891334","-086.8935538","22813","169937","35575","18","157",20.93,"0","714",40.38063,-86.907408,"20",,,,,
"158","18","157","00450393","18157",Tippecanoe,Tippecanoe County,"06",H1,G4020,"320","29200",,A,"1292138000","11256312","+40.3891334","-086.8935538","22813","169937","35575","18","157",20.93,"0","760",40.435701,-86.820423,"120",,,,,
"159","18","091","00450507","18091",LaPorte,LaPorte County,"06",H1,G4020,"176","33140",,A,"1549582915","38751745","+41.5490129","-086.7447386","25595","102126","16924","18","91",16.57,"0","37",41.61362,-86.896071,"43",,,,,
"160","18","091","00450507","18091",LaPorte,LaPorte County,"06",H1,G4020,"176","33140",,A,"1549582915","38751745","+41.5490129","-086.7447386","25595","102126","16924","18","91",16.57,"0","124",41.698393,-86.778175,"59",,,,,
"161","18","091","00450507","18091",LaPorte,LaPorte County,"06",H1,G4020,"176","33140",,A,"1549582915","38751745","+41.5490129","-086.7447386","25595","102126","16924","18","91",16.57,"0","179",41.75356,-86.830917,"198",198,20,178,,10.1
"162","18","091","00450507","18091",LaPorte,LaPorte County,"06",H1,G4020,"176","33140",,A,"1549582915","38751745","+41.5490129","-086.7447386","25595","102126","16924","18","91",16.57,"0","257",41.718824,-86.823744,"227",,,,,
"163","18","091","00450507","18091",LaPorte,LaPorte County,"06",H1,G4020,"176","33140",,A,"1549582915","38751745","+41.5490129","-086.7447386","25595","102126","16924","18","91",16.57,"0","339",41.61,-86.72,"119",,,,,
"164","18","091","00450507","18091",LaPorte,LaPorte County,"06",H1,G4020,"176","33140",,A,"1549582915","38751745","+41.5490129","-086.7447386","25595","102126","16924","18","91",16.57,"0","354",41.526211,-86.699816,"103",,,,,
"165","18","091","00450507","18091",LaPorte,LaPorte County,"06",H1,G4020,"176","33140",,A,"1549582915","38751745","+41.5490129","-086.7447386","25595","102126","16924","18","91",16.57,"0","355",41.476408,-86.693839,"535",,,,,
"166","18","091","00450507","18091",LaPorte,LaPorte County,"06",H1,G4020,"176","33140",,A,"1549582915","38751745","+41.5490129","-086.7447386","25595","102126","16924","18","91",16.57,"0","366",41.31754,-86.891411,"276",276,,276,,
"167","18","091","00450507","18091",LaPorte,LaPorte County,"06",H1,G4020,"176","33140",,A,"1549582915","38751745","+41.5490129","-086.7447386","25595","102126","16924","18","91",16.57,"0","381",41.632892,-86.738173,"93",93,0,93,,0
"168","18","091","00450507","18091",LaPorte,LaPorte County,"06",H1,G4020,"176","33140",,A,"1549582915","38751745","+41.5490129","-086.7447386","25595","102126","16924","18","91",16.57,"0","387",41.611671,-86.72981,"8085",8122,5825,1131,4694,71.72
"169","18","091","00450507","18091",LaPorte,LaPorte County,"06",H1,G4020,"176","33140",,A,"1549582915","38751745","+41.5490129","-086.7447386","25595","102126","16924","18","91",16.57,"0","409",41.745909,-86.85079,"1130",1130,100,1030,0,8.85
"170","18","091","00450507","18091",LaPorte,LaPorte County,"06",H1,G4020,"176","33140",,A,"1549582915","38751745","+41.5490129","-086.7447386","25595","102126","16924","18","91",16.57,"0","437",41.709999,-86.899999,"13650",,,,,
"171","18","091","00450507","18091",LaPorte,LaPorte County,"06",H1,G4020,"176","33140",,A,"1549582915","38751745","+41.5490129","-086.7447386","25595","102126","16924","18","91",16.57,"0","478",41.561374,-86.897638,"412",412,0,412,0,0
"172","18","091","00450507","18091",LaPorte,LaPorte County,"06",H1,G4020,"176","33140",,A,"1549582915","38751745","+41.5490129","-086.7447386","25595","102126","16924","18","91",16.57,"0","594",41.665655,-86.602374,"50",,,,,
"173","18","091","00450507","18091",LaPorte,LaPorte County,"06",H1,G4020,"176","33140",,A,"1549582915","38751745","+41.5490129","-086.7447386","25595","102126","16924","18","91",16.57,"0","606",41.69062,-86.600625,"1",,,,,
"174","18","091","00450507","18091",LaPorte,LaPorte County,"06",H1,G4020,"176","33140",,A,"1549582915","38751745","+41.5490129","-086.7447386","25595","102126","16924","18","91",16.57,"0","620",41.733079,-86.606073,"13",,,,,
"175","18","091","00450507","18091",LaPorte,LaPorte County,"06",H1,G4020,"176","33140",,A,"1549582915","38751745","+41.5490129","-086.7447386","25595","102126","16924","18","91",16.57,"0","648",41.682535,-86.73539,"53",,,,,
"176","18","091","00450507","18091",LaPorte,LaPorte County,"06",H1,G4020,"176","33140",,A,"1549582915","38751745","+41.5490129","-086.7447386","25595","102126","16924","18","91",16.57,"0","731",41.430596,-86.898358,"468",487,0,487,,0
"177","18","091","00450507","18091",LaPorte,LaPorte County,"06",H1,G4020,"176","33140",,A,"1549582915","38751745","+41.5490129","-086.7447386","25595","102126","16924","18","91",16.57,"0","751",41.532921,-86.91212,"57",57,,57,,
"178","18","091","00450507","18091",LaPorte,LaPorte County,"06",H1,G4020,"176","33140",,A,"1549582915","38751745","+41.5490129","-086.7447386","25595","102126","16924","18","91",16.57,"0","752",41.540502,-86.917981,"98",,,,,
"179","18","091","00450507","18091",LaPorte,LaPorte County,"06",H1,G4020,"176","33140",,A,"1549582915","38751745","+41.5490129","-086.7447386","25595","102126","16924","18","91",16.57,"0","753",41.54143,-86.900582,"630",680,0,680,680,0
"180","18","091","00450507","18091",LaPorte,LaPorte County,"06",H1,G4020,"176","33140",,A,"1549582915","38751745","+41.5490129","-086.7447386","25595","102126","16924","18","91",16.57,"0","771",41.701401,-86.718078,"50",,,,,
"181","18","057","00450356","18057",Hamilton,Hamilton County,"06",H1,G4020,"294","26900",,A,"1021307261","20999468","+40.0536499","-086.0217262","43758","307705","15322","18","57",4.98,"0","18",40.17587,-86.021652,"650",653,28,625,0,4.29
"182","18","057","00450356","18057",Hamilton,Hamilton County,"06",H1,G4020,"294","26900",,A,"1021307261","20999468","+40.0536499","-086.0217262","43758","307705","15322","18","57",4.98,"0","20",39.937117,-85.960609,"47",50,,50,,
"183","18","057","00450356","18057",Hamilton,Hamilton County,"06",H1,G4020,"294","26900",,A,"1021307261","20999468","+40.0536499","-086.0217262","43758","307705","15322","18","57",4.98,"0","22",40.215315,-86.026375,"300",300,0,300,0,0
"184","18","057","00450356","18057",Hamilton,Hamilton County,"06",H1,G4020,"294","26900",,A,"1021307261","20999468","+40.0536499","-086.0217262","43758","307705","15322","18","57",4.98,"0","41",40.122718,-85.946149,"24",,,,,
"185","18","057","00450356","18057",Hamilton,Hamilton County,"06",H1,G4020,"294","26900",,A,"1021307261","20999468","+40.0536499","-086.0217262","43758","307705","15322","18","57",4.98,"0","81",39.978618,-86.127931,"364",467,0,467,0,0
"186","18","057","00450356","18057",Hamilton,Hamilton County,"06",H1,G4020,"294","26900",,A,"1021307261","20999468","+40.0536499","-086.0217262","43758","307705","15322","18","57",4.98,"0","82",39.978642,-86.127855,"30720",29382,0,27044,2338,0
"187","18","057","00450356","18057",Hamilton,Hamilton County,"06",H1,G4020,"294","26900",,A,"1021307261","20999468","+40.0536499","-086.0217262","43758","307705","15322","18","57",4.98,"0","105",40.123926,-86.013318,"2218",,,,,
"188","18","057","00450356","18057",Hamilton,Hamilton County,"06",H1,G4020,"294","26900",,A,"1021307261","20999468","+40.0536499","-086.0217262","43758","307705","15322","18","57",4.98,"0","108",40.02167,-86.145146,"12976",13450,0,13450,0,0
"189","18","057","00450356","18057",Hamilton,Hamilton County,"06",H1,G4020,"294","26900",,A,"1021307261","20999468","+40.0536499","-086.0217262","43758","307705","15322","18","57",4.98,"0","184",40.043674,-86.192652,"38",,,,,
"190","18","057","00450356","18057",Hamilton,Hamilton County,"06",H1,G4020,"294","26900",,A,"1021307261","20999468","+40.0536499","-086.0217262","43758","307705","15322","18","57",4.98,"0","266",39.990378,-86.09984,"44",,,,,
"191","18","057","00450356","18057",Hamilton,Hamilton County,"06",H1,G4020,"294","26900",,A,"1021307261","20999468","+40.0536499","-086.0217262","43758","307705","15322","18","57",4.98,"0","306",40.148586,-86.013021,"18",,,,,
"192","18","057","00450356","18057",Hamilton,Hamilton County,"06",H1,G4020,"294","26900",,A,"1021307261","20999468","+40.0536499","-086.0217262","43758","307705","15322","18","57",4.98,"0","316",40.008358,-86.006377,"15667",15696,249,15447,0,1.59
"193","18","057","00450356","18057",Hamilton,Hamilton County,"06",H1,G4020,"294","26900",,A,"1021307261","20999468","+40.0536499","-086.0217262","43758","307705","15322","18","57",4.98,"0","406",40.042912,-86.194655,"25",,,,,
"194","18","057","00450356","18057",Hamilton,Hamilton County,"06",H1,G4020,"294","26900",,A,"1021307261","20999468","+40.0536499","-086.0217262","43758","307705","15322","18","57",4.98,"0","544",40.02155,-86.195517,"49",,,,,
"195","18","057","00450356","18057",Hamilton,Hamilton County,"06",H1,G4020,"294","26900",,A,"1021307261","20999468","+40.0536499","-086.0217262","43758","307705","15322","18","57",4.98,"0","624",40.134116,-86.220776,"1256",,,,905,
"196","18","057","00450356","18057",Hamilton,Hamilton County,"06",H1,G4020,"294","26900",,A,"1021307261","20999468","+40.0536499","-086.0217262","43758","307705","15322","18","57",4.98,"0","666",40.09217,-86.011765,"141",141,0,141,,0
"197","18","057","00450356","18057",Hamilton,Hamilton County,"06",H1,G4020,"294","26900",,A,"1021307261","20999468","+40.0536499","-086.0217262","43758","307705","15322","18","57",4.98,"0","682",40.058583,-85.898924,"50",,,,,
"198","18","057","00450356","18057",Hamilton,Hamilton County,"06",H1,G4020,"294","26900",,A,"1021307261","20999468","+40.0536499","-086.0217262","43758","307705","15322","18","57",4.98,"0","749",39.97,-86.17,"78",,,96,,
"199","18","129","00450383","18129",Posey,Posey County,"06",H1,G4020,,"21780",,A,"1060786892","25260282","+38.0276138","-087.8686526","30502","25292","2398","18","129",9.48,"0","158",38.187544,-87.710303,"270",,,,,
"200","18","129","00450383","18129",Posey,Posey County,"06",H1,G4020,,"21780",,A,"1060786892","25260282","+38.0276138","-087.8686526","30502","25292","2398","18","129",9.48,"0","465",37.943293,-87.890278,"3264",3427,,,3427,
"201","18","129","00450383","18129",Posey,Posey County,"06",H1,G4020,,"21780",,A,"1060786892","25260282","+38.0276138","-087.8686526","30502","25292","2398","18","129",9.48,"0","479",38.12841,-87.929133,"653",653,10,643,0,1.53
"202","18","129","00450383","18129",Posey,Posey County,"06",H1,G4020,,"21780",,A,"1060786892","25260282","+38.0276138","-087.8686526","30502","25292","2398","18","129",9.48,"0","558",38.169564,-87.784559,"560",560,11,299,250,1.96
"203","18","031","00450345","18031",Decatur,Decatur County,"06",H1,G4020,"294","24700",,A,"964946087","1955470","+39.3059799","-085.4998310","28698","25968","2957","18","31",11.39,"0","166",39.386711,-85.548512,"1090",,,,,
"204","18","031","00450345","18031",Decatur,Decatur County,"06",H1,G4020,"294","24700",,A,"964946087","1955470","+39.3059799","-085.4998310","28698","25968","2957","18","31",11.39,"0","260",39.347456,-85.489235,"4796",4500,0,4500,0,0
"205","18","031","00450345","18031",Decatur,Decatur County,"06",H1,G4020,"294","24700",,A,"964946087","1955470","+39.3059799","-085.4998310","28698","25968","2957","18","31",11.39,"0","374",39.398301,-85.306294,"554",,,,,
"206","18","031","00450345","18031",Decatur,Decatur County,"06",H1,G4020,"294","24700",,A,"964946087","1955470","+39.3059799","-085.4998310","28698","25968","2957","18","31",11.39,"0","658",39.428105,-85.628309,"396",385,,385,,
"207","18","031","00450345","18031",Decatur,Decatur County,"06",H1,G4020,"294","24700",,A,"964946087","1955470","+39.3059799","-085.4998310","28698","25968","2957","18","31",11.39,"0","750",39.175885,-85.573027,"645",645,0,645,0,0
"208","18","037","00451675","18037",Dubois,Dubois County,"06",H1,G4020,,"27540",,A,"1106626119","20883162","+38.3733441","-086.8733845","28975","41456","4150","18","37",10.01,"0","43",38.29903,-86.688651,"360",360,0,360,0,0
"209","18","037","00451675","18037",Dubois,Dubois County,"06",H1,G4020,,"27540",,A,"1106626119","20883162","+38.3733441","-086.8733845","28975","41456","4150","18","37",10.01,"0","176",38.441313,-86.805359,"3452",3427,0,3427,0,0
"210","18","037","00451675","18037",Dubois,Dubois County,"06",H1,G4020,,"27540",,A,"1106626119","20883162","+38.3733441","-086.8733845","28975","41456","4150","18","37",10.01,"0","177",38.315528,-87.031111,"330",330,0,0,330,0
"211","18","037","00451675","18037",Dubois,Dubois County,"06",H1,G4020,,"27540",,A,"1106626119","20883162","+38.3733441","-086.8733845","28975","41456","4150","18","37",10.01,"0","216",38.22097,-86.867226,"965",,,,,
"212","18","037","00451675","18037",Dubois,Dubois County,"06",H1,G4020,,"27540",,A,"1106626119","20883162","+38.3733441","-086.8733845","28975","41456","4150","18","37",10.01,"0","301",38.294581,-86.985291,"2459",2700,45,2655,0,1.67
"213","18","037","00451675","18037",Dubois,Dubois County,"06",H1,G4020,,"27540",,A,"1106626119","20883162","+38.3733441","-086.8733845","28975","41456","4150","18","37",10.01,"0","337",38.414692,-86.9994,"1610",,,1567,,
"214","18","037","00451675","18037",Dubois,Dubois County,"06",H1,G4020,,"27540",,A,"1106626119","20883162","+38.3733441","-086.8733845","28975","41456","4150","18","37",10.01,"0","344",38.39,-86.93,"6031",6530,2000,4530,0,30.63
"215","18","037","00451675","18037",Dubois,Dubois County,"06",H1,G4020,,"27540",,A,"1106626119","20883162","+38.3733441","-086.8733845","28975","41456","4150","18","37",10.01,"0","527",38.479707,-86.858364,"5079",,,,,
"216","18","037","00451675","18037",Dubois,Dubois County,"06",H1,G4020,,"27540",,A,"1106626119","20883162","+38.3733441","-086.8733845","28975","41456","4150","18","37",10.01,"0","651",38.314499,-86.82666,"681",675,0,675,0,0
"217","18","037","00451675","18037",Dubois,Dubois County,"06",H1,G4020,,"27540",,A,"1106626119","20883162","+38.3733441","-086.8733845","28975","41456","4150","18","37",10.01,"0","653",38.217463,-86.927715,"1231",,,,,
"218","18","143","00450386","18143",Scott,Scott County,"06",H1,G4020,"350","31140",,A,"493126036","6088999","+38.6794309","-085.7518981","25888","23270","3198","18","143",13.74,"0","615",38.686032,-85.770229,"3096",3000,,,3000,
"219","18","143","00450386","18143",Scott,Scott County,"06",H1,G4020,"350","31140",,A,"493126036","6088999","+38.6794309","-085.7518981","25888","23270","3198","18","143",13.74,"0","663",38.685934,-85.773132,"7549",7600,0,7600,0,0
"220","18","137","00450385","18137",Ripley,Ripley County,"06",H1,G4020,,,,A,"1156236802","4237459","+39.1002257","-085.2604937","27822","27855","2916","18","137",10.47,"0","33",39.298127,-85.224191,"2910",,,,,
"221","18","137","00450385","18137",Ripley,Ripley County,"06",H1,G4020,,,,A,"1156236802","4237459","+39.1002257","-085.2604937","27822","27855","2916","18","137",10.47,"0","292",39.075942,-85.348391,"945",945,0,945,0,0
"222","18","137","00450385","18137",Ripley,Ripley County,"06",H1,G4020,,,,A,"1156236802","4237459","+39.1002257","-085.2604937","27822","27855","2916","18","137",10.47,"0","296",39.133951,-85.130736,"3483",3413,0,3413,0,0
"223","18","137","00450385","18137",Ripley,Ripley County,"06",H1,G4020,,,,A,"1156236802","4237459","+39.1002257","-085.2604937","27822","27855","2916","18","137",10.47,"0","441",39.12281,-85.132765,"704",701,0,577,124,0
"224","18","137","00450385","18137",Ripley,Ripley County,"06",H1,G4020,,,,A,"1156236802","4237459","+39.1002257","-085.2604937","27822","27855","2916","18","137",10.47,"0","469",39.205241,-85.330804,"1515",1530,0,1530,,0
"225","18","137","00450385","18137",Ripley,Ripley County,"06",H1,G4020,,,,A,"1156236802","4237459","+39.1002257","-085.2604937","27822","27855","2916","18","137",10.47,"0","515",39.122998,-85.296732,"756",750,,750,,
"226","18","137","00450385","18137",Ripley,Ripley County,"06",H1,G4020,,,,A,"1156236802","4237459","+39.1002257","-085.2604937","27822","27855","2916","18","137",10.47,"0","670",39.236997,-85.094681,"405",426,0,426,0,0
"227","18","137","00450385","18137",Ripley,Ripley County,"06",H1,G4020,,,,A,"1156236802","4237459","+39.1002257","-085.2604937","27822","27855","2916","18","137",10.47,"0","723",39.070819,-85.252644,"801",800,,,800,
"228","18","161","00450395","18161",Union,Union County,"06",H1,G4020,"178","17140",,A,"417568563","10238515","+39.6231109","-084.9251523","24000","7099","583","18","161",8.21,"0","401",39.635605,-84.931071,"1160",1160,,,1160,
"229","18","047","00450352","18047",Franklin,Franklin County,"06",H1,G4020,,,,A,"995670602","17143494","+39.4097620","-085.0669641","27687","22751","2248","18","47",9.88,"0","62",39.426174,-85.010984,"1199",1215,34,1169,12,2.8
"230","18","047","00450352","18047",Franklin,Franklin County,"06",H1,G4020,,,,A,"995670602","17143494","+39.4097620","-085.0669641","27687","22751","2248","18","47",9.88,"0","229",39.436259,-85.019425,"3607",3406,0,3406,0,0
"231","18","047","00450352","18047",Franklin,Franklin County,"06",H1,G4020,,,,A,"995670602","17143494","+39.4097620","-085.0669641","27687","22751","2248","18","47",9.88,"0","279",39.385679,-85.045161,"864",850,0,850,0,0
"232","18","047","00450352","18047",Franklin,Franklin County,"06",H1,G4020,,,,A,"995670602","17143494","+39.4097620","-085.0669641","27687","22751","2248","18","47",9.88,"0","388",39.500662,-85.185752,"271",270,0,0,0,0
"233","18","047","00450352","18047",Franklin,Franklin County,"06",H1,G4020,,,,A,"995670602","17143494","+39.4097620","-085.0669641","27687","22751","2248","18","47",9.88,"0","509",39.339773,-85.204406,"341",0,0,,341,
"234","18","005","00451683","18005",Bartholomew,Bartholomew County,"06",H1,G4020,"294","18020",,A,"1053869826","6814131","+39.2058430","-085.8979988","30105","79835","9870","18","5",12.36,"0","126",39.2,-85.92,"14230",15000,2000,12000,1000,13.33
